Id,date,playoff,team_id,Elo,opp_team_id,opp_Elo,win_equivalent,bet_ratio,game_result
1,11/2/1996,False,team25,1511.6364,opp_team10,,,0.61643749,1
2,6/17/2012,True,team22,1690.4612,opp_team42,1732.2164,59.721931,0.58304441,0
3,11/20/2013,False,team18,1550.2258,opp_team11,,,0.6064676,0
4,3/29/1990,False,team12,,opp_team17,1629.6985,39.305004,0.3906942,0
5,1/2/2004,False,team27,,opp_team12,,28.311192,0.49217862,0
6,12/18/1990,False,team4,1542.0739,opp_team20,1412.1492,47.385944,0.78977221,0
7,3/25/2006,False,team6,1661.3564,opp_team16,1566.9117,57.540546,0.75386137,0
8,1/4/1979,False,team36,1535.4569,opp_team44,1436.5959,,0.75854808,0
9,2/24/1992,False,team24,,opp_team14,1522.0533,22.259274,0.33774474,1
10,3/2/2004,False,team12,1479.4419,opp_team15,1610.1714,,0.45589167,1
11,12/27/1985,False,team25,1497.256,opp_team7,1455.4757,,0.6934191,0
12,2/6/2004,False,team24,1655.4486,opp_team10,1418.7266,56.411762,0.87416834,0
13,11/7/1969,False,team52,1360.9799,opp_team1,1657.4713,30.283886,0.24395895,1
14,4/17/2007,False,team27,1445.7535,opp_team23,1497.4452,34.366856,0.56907672,1
15,2/15/2007,False,team2,1537.194,opp_team10,1545.2732,43.754002,0.62928218,1
16,3/5/1978,False,team12,1456.5042,opp_team5,,35.60289,0.59892428,1
17,5/15/2011,True,team5,1698.4866,opp_team22,1696.8986,60.820526,0.64216828,0
18,11/18/1970,False,team4,1492.8944,opp_team1,,47.452618,0.44486466,0
19,1/12/1989,False,team19,1377.0146,opp_team0,1515.3844,29.223145,0.44500488,1
20,12/8/1989,False,team12,1394.7577,opp_team21,1378.9733,31.395111,0.66072094,1
21,3/15/1997,False,team12,1405.8986,opp_team26,,32.647606,0.62962961,0
22,4/21/2007,True,team11,1596.2819,opp_team17,1561.939,,0.6842429,0
23,4/14/1990,False,team14,1470.6932,opp_team6,1635.3188,41.355423,0.40805423,0
24,11/20/1973,False,team8,1677.1196,opp_team12,1515.6313,59.308109,0.8183558,1
25,3/2/1975,False,team51,,opp_team54,1465.0399,20.065147,0.36408675,1
26,3/1/2000,False,team16,1437.4592,opp_team19,1452.7924,32.932549,0.61948943,1
27,2/8/1983,False,team7,1500.0792,opp_team19,1584.2249,,0.52280045,1
28,12/27/1999,False,team23,,opp_team24,1439.9497,45.807728,0.77437705,1
29,2/20/1983,False,team10,1321.5426,opp_team6,1575.6984,22.746357,0.29164833,1
30,11/14/1994,False,team17,,opp_team1,1618.7881,49.995003,0.58146942,0
31,12/18/1986,False,team8,1646.6453,opp_team7,1645.9995,55.989899,0.64092094,0
32,12/23/1979,False,team44,1495.0366,opp_team17,1373.3466,40.365978,0.78179383,0
33,2/5/1987,False,team1,1400.218,opp_team19,1374.1123,31.287596,0.6739099,0
34,11/18/2014,False,team7,1499.0448,opp_team2,1383.3768,39.040936,0.77582234,1
35,2/23/1972,False,team11,1456.3395,opp_team2,1723.4097,42.202522,0.27653128,0
36,1/24/1984,False,team2,1521.3069,opp_team6,1534.5463,43.707321,0.62232637,0
37,11/9/2001,False,team2,1726.0686,opp_team29,1360.9731,,0.93567407,0
38,12/17/1988,False,team16,1588.1375,opp_team20,1316.1437,51.522667,0.89485943,0
39,11/4/1988,False,team15,,opp_team8,1494.4231,39.816257,0.63991767,1
40,3/24/1990,False,team1,1465.7921,opp_team0,1548.9087,,0.5242781,1
41,3/1/2006,False,team29,1533.6732,opp_team1,,44.747871,0.86737102,0
42,5/1/2003,True,team2,1672.2843,opp_team24,1574.1006,58.277237,0.7578333,0
43,3/13/1984,False,team13,1459.2054,opp_team18,1507.8721,,0.57334179,0
44,3/11/2011,False,team37,1430.8756,opp_team9,,34.24044,0.46750116,0
45,1/2/1998,False,team27,1561.8411,opp_team15,1606.2731,46.098816,0.57929379,1
46,3/26/2005,False,team7,1240.7455,opp_team26,,17.086613,0.36608109,1
47,12/27/2004,False,team23,1465.1801,opp_team1,1448.9746,36.313728,0.66126406,1
48,11/23/1980,False,team2,1700.8965,opp_team8,1650.334,58.911098,0.70406014,1
49,3/8/1996,False,team13,1641.9485,opp_team19,1411.8196,56.758575,0.86993396,0
50,12/10/1996,False,team21,,opp_team2,1604.1116,32.985516,0.37723225,1
51,3/28/1990,False,team23,1245.1204,opp_team22,1267.995,,0.60920441,1
52,11/25/1975,False,team45,1635.2726,opp_team54,1433.9467,55.108418,0.84999621,0
53,11/12/1950,False,team33,1587.3513,opp_team46,1406.2174,50.644985,0.83456564,0
54,4/8/1997,False,team6,1560.3184,opp_team24,1443.54,,0.776932,0
55,1/28/1962,False,team31,1473.274,opp_team3,,40.466934,0.66974801,0
56,1/2/2011,False,team1,1493.3596,opp_team15,1473.649,40.42667,0.6657688,0
57,1/17/1984,False,team9,1557.3918,opp_team18,1511.2616,47.348118,0.69871646,0
58,4/2/1987,False,team20,1263.688,opp_team21,1399.0679,17.946095,0.44925952,1
59,11/19/2012,False,team13,1681.8019,opp_team20,1606.2277,,0.73315448,1
60,11/6/1987,False,team9,,opp_team6,1474.8031,43.390343,0.69702333,0
61,2/26/2003,False,team20,,opp_team12,1482.6737,,0.52873045,1
62,3/19/1983,False,team7,,opp_team17,1413.3337,43.14378,0.76374292,0
63,2/8/2008,False,team18,1643.5704,opp_team29,1347.9064,55.418118,0.90700698,0
64,1/14/1995,False,team20,1290.8695,opp_team6,1632.2396,20.534081,0.19949748,1
65,10/22/1971,False,team49,1441.214,opp_team54,1570.2625,42.393631,0.45829305,0
66,4/14/1998,False,team18,1338.4315,opp_team2,1701.8652,25.072046,0.1799854,1
67,2/29/1980,False,team9,1485.8484,opp_team17,1368.3842,37.858597,0.77761555,1
68,11/10/2001,False,team17,1564.3975,opp_team26,1556.3696,45.033356,0.65064102,1
69,2/14/1979,False,team13,1602.6366,opp_team0,1452.7092,51.856812,0.80825287,0
70,11/3/1999,False,team10,,opp_team19,,37.983696,0.65568411,0
71,3/28/2005,False,team8,1433.4065,opp_team15,1533.3638,,0.50006151,1
72,4/10/1991,False,team22,1316.8926,opp_team25,1342.8843,24.92235,0.60492432,0
73,3/31/2010,False,team38,1459.946,opp_team27,,35.02589,0.8091774,1
74,12/2/2000,False,team16,1443.8397,opp_team14,1538.7386,,0.50734049,0
75,4/9/1988,False,team9,1580.1195,opp_team2,1644.8176,49.826267,0.55062938,0
76,4/28/2013,True,team0,1459.4418,opp_team1,1641.1188,37.477928,0.38457587,0
77,12/5/1996,False,team26,,opp_team25,1483.2112,24.890223,0.41386878,0
78,2/18/1997,False,team21,,opp_team24,1460.1475,35.061253,0.59292936,0
79,4/29/2003,True,team24,1600.5355,opp_team2,1645.8494,48.426533,0.57805616,1
80,5/9/1986,True,team4,1606.4031,opp_team8,1691.8185,53.026413,0.5209766,0
81,12/10/2013,False,team7,1490.4421,opp_team42,,38.824604,0.37492836,1
82,2/20/2007,False,team21,,opp_team0,1330.0331,37.944893,0.79858559,0
83,5/7/1987,True,team14,1544.7941,opp_team11,1529.5739,43.030113,0.65999252,1
84,4/2/2002,False,team27,1459.1736,opp_team2,1661.5183,35.442078,0.35683137,1
85,1/16/1969,False,team5,1399.5299,opp_team39,1359.634,34.407364,0.69110823,1
86,4/14/1985,False,team6,,opp_team12,1348.0627,32.88538,0.72634959,0
87,12/29/2008,False,team17,1571.8292,opp_team4,1465.0977,48.800625,0.76674867,0
88,12/5/1979,False,team19,1448.0848,opp_team6,1594.475,36.816204,0.43363315,0
89,10/31/1981,False,team5,1556.7001,opp_team3,1406.2698,44.575005,0.80870116,1
90,4/22/2010,True,team9,1594.1317,opp_team6,,48.580845,0.55176067,1
91,3/6/2002,False,team8,1527.3362,opp_team20,1511.8804,44.189068,0.6602968,0
92,1/11/2013,False,team2,,opp_team42,1685.381,41.584888,0.40725335,1
93,11/29/1985,False,team18,,opp_team21,1416.5437,42.059719,0.74754894,0
